iter	Passed	Remaining
0	0	88
1	1	81
2	3	102
3	3	91
4	4	90
5	5	88
6	6	83
7	7	81
8	7	77
9	8	75
10	9	73
11	9	71
12	10	70
13	11	69
14	12	68
15	12	66
16	13	66
17	14	65
18	15	64
19	15	63
20	16	62
21	17	60
22	17	59
23	18	58
24	19	57
25	19	56
26	20	55
27	21	54
28	22	54
29	22	53
30	23	52
31	24	51
32	25	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	28	45
39	29	44
40	30	43
41	30	41
42	30	40
43	31	40
44	32	39
45	32	38
46	33	37
47	34	36
48	34	36
49	35	35
50	36	34
51	37	34
52	37	33
53	38	32
54	38	31
55	39	30
56	39	29
57	40	29
58	41	28
59	41	27
60	42	27
61	42	26
62	43	25
63	44	24
64	44	24
65	45	23
66	45	22
67	46	21
68	47	21
69	47	20
70	48	19
71	48	18
72	49	18
73	50	17
74	50	16
75	51	16
76	52	15
77	52	14
78	53	14
79	54	13
80	54	12
81	55	12
82	55	11
83	56	10
84	56	10
85	57	9
86	58	8
87	58	8
88	59	7
89	60	6
90	60	6
91	61	5
92	61	4
93	62	3
94	63	3
95	63	2
96	64	1
97	64	1
98	65	0
99	66	0
